Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
29853599683,Vestido De Bebê Menina 2-7 anos Verão Sem Manga Bordados Tulle Moda Vestidos De Princesa Crianças Infantil,"R$35,28","9,8mil",Choice Oficial,14%,"R$4,94",https://shopee.com.br/product/1006215031/29853599683,https://s.shopee.com.br/4L28je7zZ1
22593202369,Tênis infantil Stitch Feminino Rosa/ Azul LANÇAMENTO,"R$49,90","7,3mil",SPEEDMARCAS,12%,"R$5,99",https://shopee.com.br/product/1176362557/22593202369,https://s.shopee.com.br/3VT1k7BAFs
22935438310,Tenis Infantil Meninos Casual Preto Preto + Óculos e Relógio Luizza,"R$47,99","11,9mil",Luizinha Kids,6%,"R$2,88",https://shopee.com.br/product/527251451/22935438310,https://s.shopee.com.br/3L9bXoBnar
22297787769,Camiseta Peruana Infantil L.C,"R$27,90","3,1mil",Los.Peruanos,16%,"R$4,46",https://shopee.com.br/product/1107331964/22297787769,https://s.shopee.com.br/3q5s8j9tZy
22392476232,kit com 10 Calcinha infantil Kids,"R$21,90","37,4mil",Dejuule Modas,10%,"R$2,19",https://shopee.com.br/product/321115312/22392476232,https://s.shopee.com.br/3fmRwQAWux
24369583402,"Relógio Infantil Unicórnio à Prova D'água, Design Divertido","R$6,00","21,3mil",Choice Oficial,14%,"R$0,84",https://shopee.com.br/product/1006215031/24369583402,https://s.shopee.com.br/2qDKwtDhbo
21397316904,Kidstep Tenis Escolar Infantil Calce Fácil K Masculino Preto com Laranja 28 ao 36,"R$37,90","36,7mil",KidstepCalcados,11%,"R$4,17",https://shopee.com.br/product/376576138/21397316904,https://s.shopee.com.br/2ftukaEKwn
9128819884,Kit 10 Cuecas Box Boxer Infantil,"R$31,99","44,1mil",2 AXF,6%,"R$1,92",https://shopee.com.br/product/406796100/9128819884,https://s.shopee.com.br/3AqBLVCQvu
21969810931,Calcinha infantil kit 10 un 100% Algodão 1 a 7 anos MENINA kit calcinha bebe,"R$19,80","70,2mil",Atacado enxoval do bebê,6%,"R$1,19",https://shopee.com.br/product/538883495/21969810931,https://s.shopee.com.br/30Wl9CD4Gt
24469578738,50PCS/Set Faixas De Cabelo Elásticas Coreanas Para Meninas Faixa De Borracha Bebês Crianças Acessórios,"R$3,38","29,4mil",Choice Oficial,14%,"R$0,47",https://shopee.com.br/product/1006215031/24469578738,https://s.shopee.com.br/7UzAVSvw8m
23292864128,Papete Infantil Menino Babuche Masculino Sandália Leve Confortável Macia Maria Fiore,"R$28,99","5,8mil",Maria Fiore Moda Infantil,6%,"R$1,74",https://shopee.com.br/product/951501035/23292864128,https://s.shopee.com.br/7KfkJ9wZTl
22693401756,Sandália Stitch Feminina Infantil Leve e Confortável,"R$24,90","2,4mil",Pretta Portte!,6%,"R$1,49",https://shopee.com.br/product/698234444/22693401756,https://s.shopee.com.br/7pc0u4ufSs
22397133036,Kit 5-10 Calcinha infantil menina 100% algodão,"R$19,79",18mil,Lojas Duarte,6%,"R$1,19",https://shopee.com.br/product/966274749/22397133036,https://s.shopee.com.br/7fIahlvInr
25676227705,4PCS/Set Conjunto De Acessórios De Cabelo Colorful Cute Bowknot Hairpins Para Meninas De Bebê Crianças,"R$4,72",12mil,Choice Oficial,14%,"R$0,66",https://shopee.com.br/product/1006215031/25676227705,https://s.shopee.com.br/6pjTiEyTUi
